,Gender,Age,# of Adults in Household,# of Children 0-5,# of Children 6-12,# of Children 13-17,Race/Ethnicity,Mailing County,Mailing Zip/Postal Code,Total Household Income,Veteran,Medical Benefits,SNAP Participant,
,Male,30,2,0,1,0,Hispanic,Dallas,75006,Unknown,FALSE,Uninsured,No,
,Female,26,2,3,0,0,Hispanic,Dallas,75006,"Under $26,700",FALSE,Medicaid,Yes,
,Female,37,2,0,1,0,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Uninsured,No,
,Female,38,2,0,2,0,Hispanic,Dallas,75006,Unknown,FALSE,Uninsured,No,
,Female,41,4,0,1,1,Hispanic,Dallas,75006,"Under $26,700",FALSE,Uninsured,No,
,Female,41,2,1,1,0,Hispanic,Dallas,75006,"Under $26,700",FALSE,Medicaid,Yes,
,Female,43,3,0,1,1,Hispanic,Dallas,75234,"$44,501 - $71,200",FALSE,CHIP,No,
,Female,44,2,1,1,0,Hispanic,Dallas,75006,"$44,501 - $71,200",FALSE,Uninsured,No,
,Female,46,3,0,4,0,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Uninsured,No,
,Female,29,2,1,2,0,Hispanic,Dallas,75006,"$26,701 - $44,500",FALSE,CHIP,Yes,
,Female,31,4,2,1,0,Hispanic,Dallas,75006,Unknown,FALSE,Uninsured,No,
,Female,33,1,0,1,0,Hispanic,Dallas,75006,Unknown,FALSE,Medicaid,No,
,Female,34,2,1,2,0,Hispanic,Denton,75007,"Under $26,700",FALSE,Medicaid,Yes,
,Female,34,2,1,2,1,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Medicaid,No,
,Female,34,1,0,1,0,Hispanic,Dallas,75254,"Under $26,700",FALSE,Uninsured,No,
,Female,36,2,2,1,0,Hispanic,Dallas,75006,"Under $26,700",FALSE,CHIP,No,
,Female,37,3,1,2,0,Hispanic,Dallas,75254,"Under $26,700",FALSE,Uninsured,No,
,Female,38,2,4,0,0,Hispanic,Dallas,75006,Unknown,FALSE,Private,No,
,Female,39,2,2,0,0,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Medicaid,No,
,Female,39,3,3,1,1,Hispanic,Dallas,75006,"Under $26,700",FALSE,Medicaid,Yes,
,Female,39,4,1,1,0,Hispanic,Dallas,75006,Unknown,FALSE,Private,No,
,Female,41,2,0,2,1,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Uninsured,No,
,Female,42,1,0,1,0,Hispanic,Dallas,75006,"Under $26,700",FALSE,Medicaid,Yes,
,Female,43,2,0,1,1,Hispanic,Dallas,75006,Unknown,FALSE,Medicaid,No,
,Female,45,2,0,1,1,Hispanic,Dallas,75229,Unknown,FALSE,Medicaid,No,
,Female,45,2,0,1,0,Hispanic,Denton,75007,Does not want to disclose,FALSE,Private,Yes,
,Female,47,3,0,1,1,Hispanic,Dallas,75006,Does not want to disclose,FALSE,Medicaid,No,
,Female,48,2,0,1,2,Hispanic,Dallas,75007,"$26,701 - $44,500",FALSE,Medicaid,No,
,Female,49,4,0,1,0,Hispanic,Dallas,75006,"Under $26,700",FALSE,Medicaid,Yes,
,Female,50,4,0,1,1,Hispanic,Dallas,75229,"$26,701 - $44,500",FALSE,Uninsured,No,
,Female,53,2,0,2,1,Hispanic,Dallas,75006,Unknown,FALSE,Medicaid,No,
,Female,60,3,1,1,0,Hispanic,Dallas,75234,"Under $26,700",FALSE,Medicaid,No,
,Female,60,2,0,1,0,Hispanic,Dallas,75229,"Under $26,700",FALSE,Uninsured,No,
,Female,37,2,0,1,1,Hispanic,Dallas,75234,"$26,701 - $44,500",FALSE,Uninsured,No,
,Male,38,2,0,2,1,Hispanic,Dallas,75001,"$26,701 - $44,500",FALSE,Uninsured,No,
,Female,41,2,2,0,0,Hispanic,Dallas,75006,Unknown,FALSE,Medicaid,Prefer Not to Answer,
,Female,22,1,0,0,0,Hispanic,Dallas,75229,"Under $26,700",FALSE,Private,No,
,Female,28,2,2,0,0,Hispanic,Dallas,75007,Unknown,FALSE,Uninsured,No,
,Female,30,1,0,1,1,Black or African American,Dallas,75063,"Under $26,700",FALSE,Medicaid,Yes,
,Female,30,2,2,1,1,White,Dallas,75063,"Under $26,700",FALSE,Medicaid,Yes,
,Male,31,2,1,0,0,Hispanic,Dallas,75234,"Under $26,700",FALSE,Uninsured,No,
,Female,31,2,0,1,0,Hispanic,Dallas,75216,"$44,501 - $71,200",FALSE,Medicaid,No,
,Female,31,2,0,1,1,Hispanic,Dallas,75234,"Under $26,700",FALSE,Medicaid,No,
,Female,32,2,1,0,0,Hispanic,Dallas,75234,"Under $26,700",FALSE,Uninsured,No,
,Female,34,1,0,1,0,Hispanic,Dallas,75234,"Under $26,700",FALSE,Private,No,
,Female,35,2,0,2,1,Hispanic,Dallas,75229,Unknown,FALSE,Medicaid,No,
,Female,35,1,1,1,0,Hispanic,Dallas,75234,"Under $26,700",FALSE,Uninsured,No,
,Female,35,2,0,2,0,Hispanic,Dallas,75220,"$44,501 - $71,200",FALSE,Uninsured,No,
,Female,35,3,0,2,0,Hispanic,Dallas,75235,"$26,701 - $44,500",FALSE,Medicaid,Yes,
,Female,35,1,1,1,0,Hispanic,Denton,75007,Unknown,FALSE,Medicaid,No,
