,zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
2119018,76272,"VALLEY VIEW, TX",813,3,0,0,0,0,0,0,0,0,0,VALLEY VIEW,TX,COOKE
2118953,76266,"SANGER, TX",813,14,11,3,0,0,0,0,0,0,0,SANGER,TX,DENTON
2118932,76266,"SANGER, TX",624,3,0,0,0,0,0,0,0,0,0,SANGER,TX,DENTON
2118820,76262,"ROANOKE, TX",813,25,16,5,0,0,0,0,0,0,0,ROANOKE,TX,DENTON
2118761,76262,"ROANOKE, TX",624,9,0,0,4,3,0,0,0,0,0,ROANOKE,TX,DENTON
2118734,76262,"ROANOKE, TX",611,13,7,0,4,0,0,0,0,0,0,ROANOKE,TX,DENTON
2118466,76259,"PONDER, TX",813,5,4,0,0,0,0,0,0,0,0,PONDER,TX,DENTON
2118428,76258,"PILOT POINT, TX",813,8,5,3,0,0,0,0,0,0,0,PILOT POINT,TX,DENTON
2118405,76258,"PILOT POINT, TX",611,3,0,0,0,0,0,0,0,0,0,PILOT POINT,TX,DENTON
2118325,76255,"NOCONA, TX",813,12,9,3,0,0,0,0,0,0,0,NOCONA,TX,MONTAGUE
2118316,76255,"NOCONA, TX",624,4,3,0,0,0,0,0,0,0,0,NOCONA,TX,MONTAGUE
2118265,76252,"MUENSTER, TX",813,4,3,0,0,0,0,0,0,0,0,MUENSTER,TX,COOKE
2118254,76252,"MUENSTER, TX",624,3,0,0,0,0,0,0,0,0,0,MUENSTER,TX,COOKE
2118188,76249,"KRUM, TX",813,6,5,0,0,0,0,0,0,0,0,KRUM,TX,DENTON
2118180,76249,"KRUM, TX",624,3,0,0,0,0,0,0,0,0,0,KRUM,TX,DENTON
2118126,76248,"KELLER, TX",813,41,21,5,7,6,0,0,0,0,0,KELLER,TX,TARRANT
2118071,76248,"KELLER, TX",624,20,8,3,4,4,0,0,0,0,0,KELLER,TX,TARRANT
2118026,76248,"KELLER, TX",611,27,13,4,5,3,0,0,0,0,0,KELLER,TX,TARRANT
2117778,76247,"JUSTIN, TX",813,11,8,0,0,0,0,0,0,0,0,JUSTIN,TX,DENTON
2117637,76245,"GORDONVILLE, TX",813,3,3,0,0,0,0,0,0,0,0,GORDONVILLE,TX,GRAYSON
2117621,76244,"KELLER, TX",813,23,17,3,0,0,0,0,0,0,0,KELLER,TX,TARRANT
2117574,76244,"KELLER, TX",624,19,7,0,0,8,0,0,0,0,0,KELLER,TX,TARRANT
2117537,76244,"KELLER, TX",611,21,11,4,3,3,0,0,0,0,0,KELLER,TX,TARRANT
2117308,76241,"GAINESVILLE, TX",813,6,4,0,0,0,0,0,0,0,0,GAINESVILLE,TX,COOKE
2117292,76240,"GAINESVILLE, TX",813,28,20,3,0,0,0,0,0,0,0,GAINESVILLE,TX,COOKE
2117250,76240,"GAINESVILLE, TX",624,12,7,0,0,0,0,0,0,0,0,GAINESVILLE,TX,COOKE
2116998,76234,"DECATUR, TX",813,30,14,8,3,5,0,0,0,0,0,DECATUR,TX,WISE
2116958,76234,"DECATUR, TX",624,7,0,0,3,0,0,0,0,0,0,DECATUR,TX,WISE
2116935,76234,"DECATUR, TX",611,4,4,0,0,0,0,0,0,0,0,DECATUR,TX,WISE
2116760,76233,"COLLINSVILLE, TX",813,3,0,0,0,0,0,0,0,0,0,COLLINSVILLE,TX,GRAYSON
2116735,76230,"BOWIE, TX",813,12,8,3,0,0,0,0,0,0,0,BOWIE,TX,MONTAGUE
2116716,76230,"BOWIE, TX",624,6,0,4,0,0,0,0,0,0,0,BOWIE,TX,MONTAGUE
2116618,76227,"AUBREY, TX",813,20,15,0,0,0,0,0,0,0,0,AUBREY,TX,DENTON
2116577,76227,"AUBREY, TX",624,14,3,0,4,4,0,0,0,0,0,AUBREY,TX,DENTON
2116394,76226,"ARGYLE, TX",813,35,25,4,0,3,0,0,0,0,0,ARGYLE,TX,DENTON
2116354,76226,"ARGYLE, TX",624,16,8,0,0,6,0,0,0,0,0,ARGYLE,TX,DENTON
2116327,76226,"ARGYLE, TX",611,16,13,0,0,0,0,0,0,0,0,ARGYLE,TX,DENTON
2116133,76225,"ALVORD, TX",813,4,3,0,0,0,0,0,0,0,0,ALVORD,TX,WISE
2116111,76210,"DENTON, TX",813,17,8,4,3,0,0,0,0,0,0,DENTON,TX,DENTON
2116074,76210,"DENTON, TX",624,16,6,0,3,5,0,0,0,0,0,DENTON,TX,DENTON
2116030,76210,"DENTON, TX",611,15,8,0,0,4,0,0,0,0,0,DENTON,TX,DENTON
2115865,76209,"DENTON, TX",813,18,10,0,3,0,0,0,0,0,0,DENTON,TX,DENTON
2115837,76209,"DENTON, TX",624,6,0,0,4,0,0,0,0,0,0,DENTON,TX,DENTON
2115759,76208,"DENTON, TX",813,6,4,0,0,0,0,0,0,0,0,DENTON,TX,DENTON
2115733,76208,"DENTON, TX",624,4,0,0,0,0,0,0,0,0,0,DENTON,TX,DENTON
2115715,76208,"DENTON, TX",611,4,0,0,0,0,0,0,0,0,0,DENTON,TX,DENTON
