LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN4808500000000,48.0,85.0,"Collin County, TX",2023.0,644705,622134,22571,3.5
CN4811300000000,48.0,113.0,"Dallas County, TX",2023.0,1461604,1405512,56092,3.8
CN4812100000000,48.0,121.0,"Denton County, TX",2023.0,568450,548549,19901,3.5
CN4813900000000,48.0,139.0,"Ellis County, TX",2023.0,106348,102421,3927,3.7
CN4825100000000,48.0,251.0,"Johnson County, TX",2023.0,91344,88059,3285,3.6
CN4825700000000,48.0,257.0,"Kaufman County, TX",2023.0,77440,74279,3161,4.1
CN4836700000000,48.0,367.0,"Parker County, TX",2023.0,76471,73916,2555,3.3
CN4839700000000,48.0,397.0,"Rockwall County, TX",2023.0,61012,58820,2192,3.6
CN4843900000000,48.0,439.0,"Tarrant County, TX",2023.0,1170758,1127271,43487,3.7
CN4849700000000,48.0,497.0,"Wise County, TX",2023.0,35165,33880,1285,3.7
